longitude,latitude
78.370619,17.432458
78.370669,17.43242
78.371317,17.431928
78.37159,17.431739
78.371888,17.431616
78.372018,17.431542
78.372813,17.430954
78.372953,17.430846
78.3736,17.430287
78.373853,17.430021
78.373974,17.429883
78.373796,17.42976
78.373697,17.429865
78.373526,17.43001
78.373431,17.430091
78.373027,17.430438
78.372983,17.430386
78.372937,17.430332
78.372715,17.430066
78.372213,17.429474
78.372072,17.429277
78.372047,17.429216
78.372027,17.42913
78.372031,17.429028
78.372034,17.428815
78.372047,17.428624
78.372174,17.427782
78.372181,17.427477
78.372173,17.427393
78.372158,17.427273
78.372035,17.426785
78.371787,17.425921
78.371659,17.42559
78.371466,17.425088
78.371413,17.424811
78.3714,17.424689
78.37141,17.424494
78.371424,17.424277
78.37148,17.42386
78.371579,17.423057
78.371657,17.422407
78.37162,17.421661
78.371619,17.421443
78.371641,17.421323
78.371748,17.421189
78.371864,17.42108
78.371919,17.421047
78.372129,17.420946
78.372247,17.420876
78.372335,17.420796
78.372396,17.420664
78.372409,17.420577
78.372402,17.420506
78.372377,17.42041
78.372359,17.420336
78.372138,17.419656
78.371897,17.419022
78.371881,17.418951
78.37191,17.41886
78.372077,17.418703
78.37233,17.418786
78.372463,17.418833
78.37261,17.418873
78.37285,17.418933
78.373072,17.418971
78.37374,17.419109
78.374029,17.419149
78.374268,17.41919
78.374584,17.419199
78.374815,17.419187
78.375074,17.419188
78.375631,17.419119
78.376234,17.419028
78.376551,17.419016
78.3768,17.419053
78.377124,17.419097
78.377252,17.419131
78.377439,17.419197
78.377754,17.419357
78.37852,17.419877
78.378806,17.420078
78.379277,17.420464
78.379438,17.420602
78.379557,17.420742
78.379724,17.420937
78.380263,17.421588
78.380498,17.421869
78.3806,17.421966
78.380773,17.422119
78.380952,17.422265
78.381212,17.422442
78.381431,17.422526
78.381527,17.422606
78.381583,17.422702
78.381603,17.422801
78.38156,17.422927
78.38139,17.423041
78.381151,17.423211
78.380967,17.423348
78.380859,17.423437
78.380807,17.423479
78.380659,17.423601
78.380516,17.423718
78.38002,17.424123
78.379686,17.424393
78.379527,17.424523
78.37946,17.424583
78.379399,17.424638
78.379049,17.424953
78.379014,17.424982
78.37887,17.425045
78.378829,17.425063
78.378671,17.425183
78.37859,17.425243
78.378471,17.425332
78.378291,17.425176
78.378058,17.424976
78.377444,17.424471
78.377271,17.424293
78.377216,17.424228
78.37712,17.424092
78.376792,17.423502
78.376773,17.423396
78.376763,17.423377
78.376749,17.423357
78.376658,17.42328
78.376579,17.423262
78.376563,17.423249
78.376544,17.423241
78.376524,17.42324
78.376505,17.423245
78.376489,17.423255
78.376476,17.42327
78.37647,17.423288
78.376469,17.423307
78.376475,17.423325
78.376487,17.42334
78.376331,17.423363
78.376118,17.423373
78.375906,17.423386
78.375438,17.423406
78.374981,17.423423
78.37495,17.423424
